/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S34. Binned and LOESS smoothed Cenozoic deep-sea benthic foraminifer stable carbon and oxygen isotope reference splice. PANGAEA, https://doi.org/10.1594/PANGAEA.917717, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Parameter(s):	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Foraminifera, benthic [#] (Foram benth) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13Ccount
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13C
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13Cinterp
	Foraminifera, benthic [#] (Foram benth) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18Ocount
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18O
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18Ointerp
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd13cLOESSsmooth
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd18oLOESSsmooth
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: error
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd13cLOESSsmoothLongTerm
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd18oLOESSsmoothLongTerm
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENLOESSsmooth_pts
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	294263 data points
*/
Tuned time [Ma]	Foram benth [#] (ISOBENbinned_d13Ccount)	Foram benth δ13C [‰ PDB] (ISOBENbinned_d13C)	Foram benth δ13C [‰ PDB] (ISOBENbinned_d13Cinterp)	Foram benth [#] (ISOBENbinned_d18Ocount)	Foram benth δ18O [‰ PDB] (ISOBENbinned_d18O)	Foram benth δ18O [‰ PDB] (ISOBENbinned_d18Ointerp)	Foram benth δ13C [‰ PDB] (ISOBENd13cLOESSsmooth)	Foram benth δ18O [‰ PDB] (ISOBENd18oLOESSsmooth)	Comment (error)	Foram benth δ13C [‰ PDB] (ISOBENd13cLOESSsmoothLongTerm)	Foram benth δ18O [‰ PDB] (ISOBENd18oLOESSsmoothLongTerm)	Comment (ISOBENLOESSsmooth_pts)
0.080	2	0.180	0.180	2	4.210	4.210	0.030	4.231	10pts smooth	-0.580456970	4.558326200	500pts smooth
0.082	2	-0.025	-0.025	2	4.240	4.240	-0.043	4.195	10pts smooth	-0.579759480	4.556970100	500pts smooth
0.084	4	0.032	0.032	4	4.157	4.157	-0.211	4.202	10pts smooth	-0.579057990	4.555623500	500pts smooth
0.086	1	-0.600	-0.600	1	4.240	4.240	-0.444	4.305	10pts smooth	-0.578352330	4.554286500	500pts smooth
0.088	3	-0.840	-0.840	3	4.377	4.377	-0.639	4.417	10pts smooth	-0.577642440	4.552959000	500pts smooth
0.090	1	-0.590	-0.590	1	4.680	4.680	-0.578	4.482	10pts smooth	-0.576928140	4.551641000	500pts smooth
0.092	0		-0.415	0		4.512	-0.435	4.517	10pts smooth	-0.576209430	4.550333000	500pts smooth
0.094	2	-0.240	-0.240	2	4.345	4.345	-0.269	4.478	10pts smooth	-0.575486180	4.549034600	500pts smooth
0.096	3	-0.007	-0.007	3	4.463	4.463	-0.143	4.410	10pts smooth	-0.574758230	4.547745700	500pts smooth
0.098	2	-0.025	-0.025	2	4.345	4.345	-0.178	4.354	10pts smooth	-0.574025570	4.546466800	500pts smooth
0.100	1	-0.490	-0.490	1	4.340	4.340	-0.232	4.291	10pts smooth	-0.573287960	4.545198000	500pts smooth
0.102	4	-0.520	-0.520	4	4.225	4.225	-0.232	4.193	10pts smooth	-0.572545470	4.543938600	500pts smooth
0.104	1	0.170	0.170	1	4.010	4.010	-0.242	4.112	10pts smooth	-0.571797850	4.542689300	500pts smooth
0.106	3	-0.080	-0.080	3	4.120	4.120	-0.263	4.100	10pts smooth	-0.571045100	4.541449500	500pts smooth
0.108	2	-0.740	-0.740	2	4.100	4.100	-0.309	4.130	10pts smooth	-0.570287050	4.540220300	500pts smooth
0.110	3	-0.263	-0.263	3	4.250	4.250	-0.454	4.236	10pts smooth	-0.569523630	4.539000500	500pts smooth
0.112	3	-0.497	-0.497	3	4.317	4.317	-0.573	4.349	10pts smooth	-0.568754730	4.537790800	500pts smooth
0.114	2	-0.755	-0.755	2	4.500	4.500	-0.550	4.427	10pts smooth	-0.567980230	4.536591100	500pts smooth
0.116	3	-0.420	-0.420	3	4.440	4.440	-0.478	4.462	10pts smooth	-0.567200010	4.535401300	500pts smooth
0.118	1	-0.310	-0.310	1	4.370	4.370	-0.316	4.389	10pts smooth	-0.566414060	4.534221600	500pts smooth
0.120	3	-0.223	-0.223	3	4.377	4.377	-0.160	4.259	10pts smooth	-0.565622210	4.533052400	500pts smooth
0.122	2	0.005	0.005	2	4.010	4.010	-0.138	4.043	10pts smooth	-0.564824340	4.531892800	500pts smooth
0.124	4	-0.090	-0.090	4	3.830	3.830	-0.173	3.830	10pts smooth	-0.564020400	4.530743600	500pts smooth
0.126	3	-0.470	-0.470	3	3.717	3.717	-0.284	3.662	10pts smooth	-0.563210250	4.529604400	500pts smooth
0.128	4	-0.408	-0.408	4	3.512	3.512	-0.434	3.623	10pts smooth	-0.562393780	4.528475800	500pts smooth
0.130	4	-0.417	-0.417	4	3.728	3.728	-0.590	3.929	10pts smooth	-0.561570880	4.527357100	500pts smooth
0.132	3	-0.847	-0.847	3	4.257	4.257	-0.720	4.338	10pts smooth	-0.560741540	4.526248900	500pts smooth
0.134	3	-0.883	-0.883	3	5.097	5.097	-0.776	4.780	10pts smooth	-0.559908090	4.525150300	500pts smooth
0.136	2	-0.785	-0.785	2	5.225	5.225	-0.806	5.167	10pts smooth	-0.559073150	4.524061200	500pts smooth
0.138	1	-0.690	-0.690	1	5.200	5.200	-0.774	5.299	10pts smooth	-0.558237020	4.522981600	500pts smooth
0.140	1	-0.720	-0.720	1	5.300	5.300	-0.785	5.280	10pts smooth	-0.557399930	4.521911100	500pts smooth
0.142	3	-0.993	-0.993	3	5.147	5.147	-0.832	5.188	10pts smooth	-0.556562010	4.520849700	500pts smooth
0.144	1	-0.710	-0.710	1	5.190	5.190	-0.973	5.112	10pts smooth	-0.555723490	4.519797800	500pts smooth
0.146	3	-1.240	-1.240	3	4.930	4.930	-1.109	5.027	10pts smooth	-0.554884670	4.518754500	500pts smooth
0.148	4	-1.292	-1.292	4	4.957	4.957	-1.191	4.963	10pts smooth	-0.554045740	4.517720200	500pts smooth
0.150	2	-1.145	-1.145	2	5.010	5.010	-1.218	4.918	10pts smooth	-0.553206920	4.516695000	500pts smooth
0.152	1	-1.090	-1.090	1	4.730	4.730	-1.077	4.917	10pts smooth	-0.552368340	4.515678900	500pts smooth
0.154	2	-1.030	-1.030	2	5.065	5.065	-0.899	4.920	10pts smooth	-0.551530360	4.514671300	500pts smooth
0.156	3	-0.723	-0.723	3	4.947	4.947	-0.742	4.901	10pts smooth	-0.550693150	4.513671900	500pts smooth
0.158	2	-0.405	-0.405	2	4.780	4.780	-0.658	4.877	10pts smooth	-0.549856900	4.512681500	500pts smooth
0.160	2	-0.975	-0.975	2	4.850	4.850	-0.858	4.840	10pts smooth	-0.549021840	4.511699700	500pts smooth
0.162	3	-0.657	-0.657	3	4.803	4.803	-1.081	4.800	10pts smooth	-0.548188210	4.510726500	500pts smooth
0.164	1	-1.850	-1.850	1	4.800	4.800	-1.114	4.768	10pts smooth	-0.547356190	4.509761300	500pts smooth
0.166	0		-1.168	0		4.747	-1.096	4.740	10pts smooth	-0.546526010	4.508804800	500pts smooth
0.168	3	-0.487	-0.487	3	4.693	4.693	-0.995	4.710	10pts smooth	-0.545697990	4.507855900	500pts smooth
0.170	2	-0.830	-0.830	2	4.660	4.660	-0.874	4.694	10pts smooth	-0.544872220	4.506915600	500pts smooth
0.172	1	-1.150	-1.150	1	4.720	4.720	-0.883	4.718	10pts smooth	-0.544048960	4.505983400	500pts smooth
0.174	2	-1.055	-1.055	2	4.750	4.750	-0.926	4.749	10pts smooth	-0.543228510	4.505058800	500pts smooth
0.176	1	-0.440	-0.440	1	4.850	4.850	-0.886	4.763	10pts smooth	-0.542410910	4.504142300	500pts smooth
0.178	1	-1.240	-1.240	1	4.700	4.700	-0.843	4.776	10pts smooth	-0.541596590	4.503233900	500pts smooth
0.180	2	-0.640	-0.640	2	4.775	4.775	-0.920	4.806	10pts smooth	-0.540785610	4.502333200	500pts smooth
0.182	2	-1.040	-1.040	2	4.820	4.820	-0.989	4.824	10pts smooth	-0.539978270	4.501440000	500pts smooth
0.184	0		-1.013	0		4.827	-0.924	4.810	10pts smooth	-0.539174800	4.500554600	500pts smooth
0.186	2	-0.985	-0.985	2	4.835	4.835	-0.818	4.752	10pts smooth	-0.538375380	4.499676200	500pts smooth
0.188	1	-0.450	-0.450	1	4.660	4.660	-0.657	4.593	10pts smooth	-0.537580190	4.498806000	500pts smooth
0.190	3	-0.457	-0.457	3	4.233	4.233	-0.501	4.408	10pts smooth	-0.536789600	4.497942900	500pts smooth
0.192	2	-0.575	-0.575	2	4.325	4.325	-0.466	4.248	10pts smooth	-0.536003650	4.497087000	500pts smooth
0.194	2	-0.315	-0.315	2	4.055	4.055	-0.467	4.107	10pts smooth	-0.535222650	4.496238200	500pts smooth
0.196	3	-0.633	-0.633	3	4.057	4.057	-0.476	4.008	10pts smooth	-0.534446840	4.495397100	500pts smooth
0.198	4	-0.412	-0.412	4	3.942	3.942	-0.478	3.937	10pts smooth	-0.533676450	4.494562600	500pts smooth
0.200	0		-0.430	0		3.886	-0.447	3.907	10pts smooth	-0.532911600	4.493735300	500pts smooth
0.202	5	-0.448	-0.448	5	3.830	3.830	-0.383	3.902	10pts smooth	-0.532152590	4.492915200	500pts smooth
0.204	2	-0.275	-0.275	2	3.990	3.990	-0.252	3.927	10pts smooth	-0.531399610	4.492101700	500pts smooth
0.206	0		-0.100	0		3.975	-0.088	3.946	10pts smooth	-0.530652940	4.491294900	500pts smooth
0.208	2	0.075	0.075	2	3.960	3.960	0.045	3.962	10pts smooth	-0.529912710	4.490494700	500pts smooth
0.210	1	0.190	0.190	1	3.920	3.920	0.043	3.957	10pts smooth	-0.529179220	4.489701300	500pts smooth
0.212	0		-0.035	0		3.940	-0.007	3.942	10pts smooth	-0.528452630	4.488914500	500pts smooth
0.214	2	-0.260	-0.260	2	3.960	3.960	-0.080	3.915	10pts smooth	-0.527733210	4.488134400	500pts smooth
0.216	0		-0.162	0		3.902	-0.184	3.888	10pts smooth	-0.527021110	4.487360500	500pts smooth
0.218	3	-0.063	-0.063	3	3.843	3.843	-0.301	3.839	10pts smooth	-0.526316640	4.486592800	500pts smooth
0.220	3	-0.560	-0.560	3	3.813	3.813	-0.423	3.831	10pts smooth	-0.525619980	4.485831700	500pts smooth
0.222	0		-0.620	0		3.914	-0.601	3.969	10pts smooth	-0.524931310	4.485076400	500pts smooth
0.224	2	-0.680	-0.680	2	4.015	4.015	-0.737	4.157	10pts smooth	-0.524250920	4.484327300	500pts smooth
0.226	4	-0.790	-0.790	4	4.545	4.545	-0.659	4.396	10pts smooth	-0.523579000	4.483584400	500pts smooth
0.228	3	-0.660	-0.660	3	4.657	4.657	-0.537	4.606	10pts smooth	-0.522915780	4.482847200	500pts smooth
0.230	0		-0.365	0		4.673	-0.486	4.666	10pts smooth	-0.522261440	4.482116200	500pts smooth
0.232	1	-0.070	-0.070	1	4.690	4.690	-0.464	4.656	10pts smooth	-0.521616220	4.481391000	500pts smooth
0.234	2	-0.735	-0.735	2	4.415	4.415	-0.507	4.579	10pts smooth	-0.520980360	4.480671400	500pts smooth
0.236	1	-0.880	-0.880	1	4.620	4.620	-0.563	4.467	10pts smooth	-0.520354090	4.479957600	500pts smooth
0.238	3	-0.587	-0.587	3	4.327	4.327	-0.569	4.316	10pts smooth	-0.519737600	4.479249000	500pts smooth
0.240	1	0.000	0.000	1	4.100	4.100	-0.579	4.173	10pts smooth	-0.519131060	4.478546100	500pts smooth
0.242	2	-0.985	-0.985	2	4.310	4.310	-0.690	4.091	10pts smooth	-0.518534840	4.477849000	500pts smooth
0.244	4	-0.797	-0.797	4	3.657	3.657	-0.799	4.085	10pts smooth	-0.517949040	4.477156600	500pts smooth
0.246	4	-1.000	-1.000	4	4.313	4.313	-0.784	4.253	10pts smooth	-0.517373860	4.476470000	500pts smooth
0.248	1	-0.640	-0.640	1	4.700	4.700	-0.723	4.473	10pts smooth	-0.516809640	4.475788600	500pts smooth
0.250	1	-0.540	-0.540	1	4.560	4.560	-0.641	4.698	10pts smooth	-0.516256510	4.475112000	500pts smooth
0.252	2	-0.455	-0.455	2	4.955	4.955	-0.566	4.883	10pts smooth	-0.515714700	4.474440600	500pts smooth
0.254	1	-0.710	-0.710	1	4.970	4.970	-0.554	4.927	10pts smooth	-0.515184400	4.473774400	500pts smooth
0.256	3	-0.607	-0.607	3	4.897	4.897	-0.555	4.920	10pts smooth	-0.514665960	4.473112600	500pts smooth
0.258	4	-0.475	-0.475	4	4.875	4.875	-0.500	4.862	10pts smooth	-0.514159440	4.472456000	500pts smooth
0.260	4	-0.448	-0.448	4	4.747	4.747	-0.483	4.793	10pts smooth	-0.513665140	4.471804100	500pts smooth
0.262	3	-0.500	-0.500	3	4.753	4.753	-0.616	4.774	10pts smooth	-0.513183300	4.471157100	500pts smooth
0.264	4	-0.780	-0.780	4	4.808	4.808	-0.805	4.776	10pts smooth	-0.512714150	4.470514300	500pts smooth
0.266	2	-1.160	-1.160	2	4.795	4.795	-1.048	4.818	10pts smooth	-0.512246550	4.469881100	500pts smooth
0.268	5	-1.236	-1.236	5	4.850	4.850	-1.262	4.864	10pts smooth	-0.511769710	4.469262100	500pts smooth
0.270	4	-1.435	-1.435	4	4.920	4.920	-1.342	4.886	10pts smooth	-0.511284230	4.468657000	500pts smooth
0.272	1	-1.240	-1.240	1	4.920	4.920	-1.332	4.891	10pts smooth	-0.510790530	4.468065700	500pts smooth
0.274	5	-1.292	-1.292	5	4.812	4.812	-1.261	4.876	10pts smooth	-0.510289250	4.467487800	500pts smooth
0.276	1	-1.040	-1.040	1	4.860	4.860	-1.148	4.833	10pts smooth	-0.509780820	4.466922800	500pts smooth
0.278	2	-1.155	-1.155	2	4.790	4.790	-0.981	4.770	10pts smooth	-0.509265840	4.466371100	500pts smooth
0.280	0		-0.778	0		4.685	-0.687	4.681	10pts smooth	-0.508744840	4.465831800	500pts smooth
0.282	0		-0.402	0		4.580	-0.428	4.581	10pts smooth	-0.508218290	4.465304900	500pts smooth
0.284	2	-0.025	-0.025	2	4.475	4.475	-0.392	4.486	10pts smooth	-0.507686730	4.464790300	500pts smooth
0.286	0		-0.422	0		4.388	-0.430	4.395	10pts smooth	-0.507150710	4.464288200	500pts smooth
0.288	1	-0.820	-0.820	1	4.300	4.300	-0.540	4.287	10pts smooth	-0.506610810	4.463797100	500pts smooth
0.290	2	-0.885	-0.885	2	4.380	4.380	-0.676	4.225	10pts smooth	-0.506067510	4.463317900	500pts smooth
